Périmètre;Nature;Date;Heures;Consommation;Thermique;Nucléaire;Eolien;Solaire;Hydraulique;Pompage;Bioénergies;Ech. physiques
Bretagne;Données définitives;01/01/2016;00:00;3344;140;-;5;0;3;-50;38;3208
Bretagne;Données définitives;01/01/2016;00:15;;;;;;;;;
Bretagne;Données définitives;01/01/2016;00:30;3252;140;-;5;0;3;-53;36;3121
Bretagne;Données définitives;01/01/2016;00:45;;;;;;;;;
Bretagne;Données définitives;01/01/2016;01:00;3036;140;-;5;0;3;-54;37;2904
Bretagne;Données définitives;01/01/2016;01:15;;;;;;;;;
Bretagne;Données définitives;01/01/2016;01:30;2889;141;-;11;0;3;-34;37;2731
Bretagne;Données définitives;01/01/2016;01:45;;;;;;;;;
Bretagne;Données définitives;01/01/2016;02:00;2996;141;-;26;0;3;-1;37;2790
Bretagne;Données définitives;01/01/2016;02:15;;;;;;;;;
Bretagne;Données définitives;01/01/2016;02:30;2844;142;-;49;0;3;0;37;2612
Bretagne;Données définitives;01/01/2016;02:45;;;;;;;;;
Bretagne;Données définitives;01/01/2016;03:00;2682;143;-;76;0;3;-3;37;2427
Bretagne;Données définitives;01/01/2016;03:15;;;;;;;;;
Bretagne;Données définitives;01/01/2016;03:30;2566;143;-;97;0;110;-1;35;2182
Bretagne;Données définitives;01/01/2016;03:45;;;;;;;;;
Bretagne;Données définitives;01/01/2016;04:00;2489;142;-;114;0;151;-1;38;2045
Bretagne;Données définitives;01/01/2016;04:15;;;;;;;;;
Bretagne;Données définitives;01/01/2016;04:30;2389;143;-;141;0;174;-1;36;1896
Bretagne;Données définitives;01/01/2016;04:45;;;;;;;;;
Bretagne;Données définitives;01/01/2016;05:00;2346;143;-;164;0;179;-1;37;1824
Bretagne;Données définitives;01/01/2016;05:15;;;;;;;;;
Bretagne;Données définitives;01/01/2016;05:30;2364;143;-;181;0;176;-1;36;1829
Bretagne;Données définitives;01/01/2016;05:45;;;;;;;;;
Bretagne;Données définitives;01/01/2016;06:00;2335;141;-;193;0;153;-1;37;1812
Bretagne;Données définitives;01/01/2016;06:15;;;;;;;;;
