Périmètre;Nature;Date;Heures;Consommation;Thermique;Nucléaire;Eolien;Solaire;Hydraulique;Pompage;Bioénergies;Ech. physiques
Bourgogne-Franche-Comté;Données définitives;01/01/2017;00:00;3045;139;-;40;0;71;0;21;2775
Bourgogne-Franche-Comté;Données définitives;01/01/2017;00:15;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2017;00:30;2982;139;-;46;0;71;0;21;2705
Bourgogne-Franche-Comté;Données définitives;01/01/2017;00:45;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2017;01:00;2899;140;-;63;0;13;0;21;2663
Bourgogne-Franche-Comté;Données définitives;01/01/2017;01:15;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2017;01:30;2950;140;-;65;0;13;0;21;2713
Bourgogne-Franche-Comté;Données définitives;01/01/2017;01:45;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2017;02:00;3054;140;-;65;0;12;0;21;2816
Bourgogne-Franche-Comté;Données définitives;01/01/2017;02:15;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2017;02:30;3045;135;-;59;0;12;0;21;2818
Bourgogne-Franche-Comté;Données définitives;01/01/2017;02:45;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2017;03:00;2969;135;-;62;0;12;0;21;2739
Bourgogne-Franche-Comté;Données définitives;01/01/2017;03:15;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2017;03:30;2949;136;-;65;0;12;0;21;2715
Bourgogne-Franche-Comté;Données définitives;01/01/2017;03:45;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2017;04:00;2885;135;-;86;0;12;0;21;2631
Bourgogne-Franche-Comté;Données définitives;01/01/2017;04:15;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2017;04:30;2837;135;-;88;0;12;0;21;2582
Bourgogne-Franche-Comté;Données définitives;01/01/2017;04:45;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2017;05:00;2830;135;-;93;0;13;0;21;2569
Bourgogne-Franche-Comté;Données définitives;01/01/2017;05:15;;;;;;;;;
Bourgogne-Franche-Comté;Données définitives;01/01/2017;05:30;2834;135;-;97;0;13;0;21;2569
